化粧落とし,tfidf
落とし,0.488383661379058
ml,0.4608690889069984
メイク,0.41271858708089404
オイル,0.17884472106838745
クレンジング,0.17884472106838745
洗顔,0.17884472106838745
ダヴ,0.15133014859632782
化粧,0.15133014859632782
毛穴,0.13757286236029803
ソフティモ,0.11005828988823842
200,0.10317964677022351
つめかえ,0.09630100365220862
dove,0.08942236053419372
クレンジングオイル,0.08254371741617882
クレンジングジェル,0.08254371741617882
ケア,0.08254371741617882
ビオレ,0.08254371741617882
黒ずみ,0.08254371741617882
シート,0.07719011125722743
150,0.07566507429816391
添加,0.07566507429816391
限定,0.06800801008812483
130,0.061907788062134116
オーガニック,0.061907788062134116
ボタニカルセレクション,0.061907788062134116
不要,0.061907788062134116
乳液,0.061907788062134116
敏感,0.061907788062134116
165,0.05502914494411921
ジェル,0.05502914494411921
120,0.04815050182610431
ok,0.04815050182610431
オイルクレンジング,0.04815050182610431
クレンジングシート,0.04815050182610431
ヒアルロン,0.04815050182610431
ビューティー,0.04815050182610431
汚れ,0.04815050182610431
amazon,0.047082468522547966
co,0.047082468522547966
kose,0.04127185870808941
キュレル,0.04127185870808941
クレンジングウォーター,0.04127185870808941
ポア,0.04127185870808941
52,0.03661969773975953
jp,0.036563736911318256
セット,0.036563736911318256
230,0.03439321559007451
fancl,0.03439321559007451
うる,0.03439321559007451
ウォーター,0.03439321559007451
ビフェスタ,0.03439321559007451
ファンケル,0.03439321559007451
60,0.03250109947672734
50,0.03138831234836531
フリー,0.03138831234836531
ボトル,0.03138831234836531
240,0.027514572472059604
orbis,0.027514572472059604
なめらか,0.027514572472059604
オルナ,0.027514572472059604
オルビス,0.027514572472059604
クレンジングフォーム,0.027514572472059604
コーセー,0.027514572472059604
ジェルメイク,0.027514572472059604
スキン,0.027514572472059604
ニキビ,0.027514572472059604
マイルドクレンジング,0.027514572472059604
乾燥,0.027514572472059604
処方,0.027514572472059604
天然,0.027514572472059604
落し,0.027514572472059604
落ち,0.027514572472059604
落とせる,0.027514572472059604
薬用,0.027514572472059604
角質,0.027514572472059604
配合,0.027514572472059604
100,0.026156926956971093
日本,0.026156926956971093
35,0.020925541565576876
46,0.020925541565576876
135,0.020635929354044704
170,0.020635929354044704
210,0.020635929354044704
bifesta,0.020635929354044704
kikimate,0.020635929354044704
ふき取り,0.020635929354044704
まつ,0.020635929354044704
エク,0.020635929354044704
キキメイト,0.020635929354044704
コットン,0.020635929354044704
コラーゲン,0.020635929354044704
スピーディ,0.020635929354044704
ズボラボ,0.020635929354044704
ドモホルンリンクル,0.020635929354044704
パーフェクト,0.020635929354044704
ブライトアップ,0.020635929354044704
マツエク,0.020635929354044704
使える,0.020635929354044704
再春館製薬所,0.020635929354044704
医薬,0.020635929354044704
回分,0.020635929354044704
専科,0.020635929354044704
由来,0.020635929354044704
美容,0.020635929354044704
部外,0.020635929354044704
風呂,0.020635929354044704
香り,0.020635929354044704
500,0.020313187172954588
ホワイト,0.01625054973836367
容量,0.01625054973836367
クリア,0.015694156174182655
メンズ,0.015694156174182655
本体,0.015694156174182655
145,0.013757286236029802
172,0.013757286236029802
180,0.013757286236029802
182,0.013757286236029802
195,0.013757286236029802
85,0.013757286236029802
de,0.013757286236029802
la,0.013757286236029802
medisthe,0.013757286236029802
posay,0.013757286236029802
うち,0.013757286236029802
うるうる,0.013757286236029802
うるおい,0.013757286236029802
おまけ,0.013757286236029802
くすみ,0.013757286236029802
しっかり,0.013757286236029802
すっきり,0.013757286236029802
ふく,0.013757286236029802
エステ,0.013757286236029802
クリーム,0.013757286236029802
クレンジングバーム,0.013757286236029802
クレンジングリキッド,0.013757286236029802
サイズ,0.013757286236029802
サンシビオ,0.013757286236029802
シルキークリームクレンジング,0.013757286236029802
ジェルクレンジング,0.013757286236029802
ハニーマイルド,0.013757286236029802
ハレナ,0.013757286236029802
バーム,0.013757286236029802
パウダー,0.013757286236029802
ビオデルマ,0.013757286236029802
ビオレメイク,0.013757286236029802
ビタミン,0.013757286236029802
ビューティーレジリエンス,0.013757286236029802
ファンデ,0.013757286236029802
プルーフ,0.013757286236029802
ホット,0.013757286236029802
ポイント,0.013757286236029802
ミセラークレンジング,0.013757286236029802
ミルク,0.013757286236029802
ミルククレンジング,0.013757286236029802
モイスト,0.013757286236029802
ラチェスカ,0.013757286236029802
ラボ,0.013757286236029802
ラロッシュポゼ,0.013757286236029802
リセット,0.013757286236029802
リラックスアロマ,0.013757286236029802
ルルルンクレンジング,0.013757286236029802
下地,0.013757286236029802
予防,0.013757286236029802
容器,0.013757286236029802
密着,0.013757286236029802
替え,0.013757286236029802
本舗,0.013757286236029802
業務,0.013757286236029802
正宗,0.013757286236029802
気分,0.013757286236029802
洗浄,0.013757286236029802
無印,0.013757286236029802
美人,0.013757286236029802
肌荒れ,0.013757286236029802
良品,0.013757286236029802
落とす,0.013757286236029802
詰め替え,0.013757286236029802
誘導体,0.013757286236029802
通常,0.013757286236029802
160,0.010462770782788438
in,0.010462770782788438
フェイス,0.010462770782788438
ミニ,0.010462770782788438
レディース,0.010462770782788438
入り,0.010462770782788438
開き,0.010462770782788438
30,0.008125274869181834
付き,0.008125274869181834
02867492,0.006878643118014901
140,0.006878643118014901
175,0.006878643118014901
270,0.006878643118014901
280,0.006878643118014901
290,0.006878643118014901
44,0.006878643118014901
450,0.006878643118014901
ad,0.006878643118014901
bioderma,0.006878643118014901
che,0.006878643118014901
cream,0.006878643118014901
keana,0.006878643118014901
laviness,0.006878643118014901
