スマブラ,tfidf
乱闘,0.5331390388698455
スマッシュブラザーズ,0.5198105628980992
special,0.2798979954066689
switch,0.25324104346317655
ニンテンドー,0.17993442561857284
nintendo,0.17327018763269977
中古,0.1681417806855266
ds,0.15994171166095364
ソフト,0.15362230448124042
任天堂,0.14661323568920748
ゲーム,0.12243883563336458
wii,0.10662780777396909
ブラ,0.10662780777396909
for,0.09996356978809602
wiiu,0.08623381120642887
コントローラ,0.07839437382402624
スマ,0.07448354156666202
キューブ,0.07055493644162363
64,0.06996504893335119
新品,0.06312646909943967
hac,0.05997814187285761
タップ,0.05487606167681837
ダウンロード,0.05487606167681837
aaaba,0.053313903886984544
接続,0.04664966590111147
本体,0.04146929476473217
セット,0.041270387699252786
コントローラー,0.040812945211121526
利用,0.03998542791523841
コンテンツ,0.03919718691201312
スマブラブラック,0.03919718691201312
追加,0.03919718691201312
無料,0.038095742491617963
送料,0.038095742491617963
afb,0.034982524466675595
キャラクター,0.03332118992936534
スイッチ,0.03332118992936534
000,0.0313577495296105
gamecube,0.0313577495296105
ll,0.0313577495296105
攻略,0.0313577495296105
ポイント,0.02793132808749826
dx,0.026656951943492272
nsw,0.026656951943492272
ファイター,0.026656951943492272
対応,0.02436015365970775
nesta,0.023518312147207874
ゲームキューブコントローラ,0.023518312147207874
ゲームキューブコントローラー,0.023518312147207874
パス,0.023518312147207874
転換,0.023518312147207874
遊べる,0.023518312147207874
2019,0.02332168297778373
アダプター,0.02332168297778373
人気,0.020734647382366085
tシャツ,0.019992713957619205
エディション,0.019992713957619205
スペシャル,0.019992713957619205
ニンテンドースイッチ,0.019992713957619205
引換,0.019992713957619205
なし,0.018620885391665506
pc,0.017491262233337797
新型,0.017491262233337797
発売,0.017491262233337797
4902370540734,0.01567887476480525
amiibo,0.01567887476480525
brand,0.01567887476480525
game,0.01567887476480525
mogoda,0.01567887476480525
vol,0.01567887476480525
クリスマス,0.01567887476480525
バトル,0.01567887476480525
ファイティングマスターズガイド,0.01567887476480525
小学館,0.01567887476480525
期限,0.01567887476480525
玩具,0.01567887476480525
編集,0.01567887476480525
すぐ,0.015550985536774564
宅配,0.015550985536774564
発送,0.013920087805547285
turbo,0.013328475971746136
ガイド,0.013328475971746136
グレー,0.013328475971746136
ネオン,0.013328475971746136
パッケージ,0.013328475971746136
互換,0.013328475971746136
最強,0.013328475971746136
純正,0.013328475971746136
著者,0.013328475971746136
連射,0.013328475971746136
長く,0.013328475971746136
モデル,0.012625293819887935
在庫,0.012625293819887935
なっ,0.011660841488891864
バッテリー,0.011660841488891864
書籍,0.011660841488891864
説明,0.011660841488891864
あり,0.011464212319467721
プレゼント,0.011464212319467721
メール,0.011464212319467721
付き,0.010440065854160463
new,0.010367323691183043
パック,0.010367323691183043
即納,0.010367323691183043
搭載,0.010367323691183043
あす,0.009523935622904491
15,0.009310442695832753
出荷,0.009310442695832753
100,0.008416862546591956
時間,0.008416862546591956
機能,0.008416862546591956
20181116,0.007839437382402625
20181207,0.007839437382402625
4902370523133,0.007839437382402625
acc,0.007839437382402625
axfj,0.007839437382402625
bran,0.007839437382402625
cube,0.007839437382402625
dosmung,0.007839437382402625
fsske,0.007839437382402625
hacpaaaba,0.007839437382402625
ns,0.007839437382402625
ports,0.007839437382402625
wup,0.007839437382402625
まと,0.007839437382402625
イオン,0.007839437382402625
ウィーユー,0.007839437382402625
エンターブレイン,0.007839437382402625
オフィシャルガイド,0.007839437382402625
カゲ,0.007839437382402625
キヨ,0.007839437382402625
スマッシュ,0.007839437382402625
スマッシュブラザーズスペシャル,0.007839437382402625
タラ,0.007839437382402625
ニンテンドウ,0.007839437382402625
ニンテンドウオールスター,0.007839437382402625
ニンテンドーオールスター,0.007839437382402625
ヌンチャク,0.007839437382402625
ネス,0.007839437382402625
ネスタ,0.007839437382402625
ネスタブランド,0.007839437382402625
パックンフラワー,0.007839437382402625
ファイティングスタジオ,0.007839437382402625
ファミ,0.007839437382402625
フロント,0.007839437382402625
ブラザーズ,0.007839437382402625
ポート,0.007839437382402625
ンテンドー,0.007839437382402625
中央,0.007839437382402625
付け,0.007839437382402625
全書,0.007839437382402625
出来,0.007839437382402625
和泉,0.007839437382402625
完璧,0.007839437382402625
必勝,0.007839437382402625
洲本,0.007839437382402625
特集,0.007839437382402625
状態,0.007839437382402625
究極,0.007839437382402625
総力,0.007839437382402625
貼り,0.007839437382402625
長袖,0.007839437382402625
電撃,0.007839437382402625
050883,0.006664237985873068
07,0.006664237985873068
2018,0.006664237985873068
4902370542912,0.006664237985873068
con,0.006664237985873068
gc,0.006664237985873068
had,0.006664237985873068
joy,0.006664237985873068
kabaa,0.006664237985873068
nintendoswitch,0.006664237985873068
rcp,0.006664237985873068
オススメ,0.006664237985873068
ガイドブック,0.006664237985873068
グリップ,0.006664237985873068
シロ,0.006664237985873068
デラックス,0.006664237985873068
プリント,0.006664237985873068
ムック,0.006664237985873068
リドリー,0.006664237985873068
リング,0.006664237985873068
レッド,0.006664237985873068
代金,0.006664237985873068
刺繍,0.006664237985873068
単行,0.006664237985873068
後払い,0.006664237985873068
持続,0.006664237985873068
振動,0.006664237985873068
13,0.005830420744445932
ok,0.005830420744445932
pro,0.005830420744445932
アーム,0.005830420744445932
インク,0.005830420744445932
リモコン,0.005830420744445932
入り,0.005830420744445932
即日,0.005830420744445932
専用,0.005830420744445932
無し,0.005830420744445932
おもちゃ,0.005183661845591521
グッズ,0.005183661845591521
