スマートフォン,tfidf
sim,0.23379098198931622
いる,0.18082749891158764
あり,0.18002023329144662
充電,0.17768653613161586
する,0.17679117081088255
購入,0.17114031146989545
思い,0.1654894521289083
バッテリー,0.15855106300974955
使用,0.15741679592749816
アプリ,0.15581742399234008
画面,0.15557494979447226
認証,0.15416651710889695
スマホ,0.14749587607085468
カメラ,0.1395537904362702
問題,0.13158429608298564
こと,0.1291624992225626
この,0.12754796798228055
設定,0.12121483818342316
なり,0.11624624930030633
良い,0.11220992119960126
でき,0.10655906185861413
よう,0.1049445306183321
端末,0.09567736560933161
ある,0.0944500775564989
使っ,0.09041374945579382
機種,0.08963210930459631
なっ,0.08879921821551179
ゲーム,0.08849752564251281
指紋,0.0880951526336554
これ,0.08637742135508873
スマ,0.08303693639336862
いい,0.0799192963939606
通話,0.07793032732977208
起動,0.07790871199617004
感じ,0.07749749953353756
使え,0.0742684370529735
zenfone,0.07284791467783042
gb,0.07115377712718321
android,0.07107461445264636
カード,0.07107461445264636
モバイル,0.07107461445264636
持ち,0.06967467076684954
対応,0.0694248433321274
ため,0.0653885152314223
機能,0.06299353795358999
ない,0.06296671837099926
もの,0.06135218713071723
使い,0.06135218713071723
なる,0.060544921510576215
楽天,0.06014005838300844
性能,0.0597376558904352
pro,0.05929481427265267
写真,0.0548940621695891
スペック,0.054672780348189495
iphone,0.054460015780007885
ところ,0.05247226530916605
価格,0.05085773406888402
apn,0.05082412651941657
the,0.049243202828601985
and,0.04843593720846097
ボタン,0.04772237723756818
てる,0.04762867158831995
必要,0.04762867158831995
sd,0.047435851418122135
そう,0.046821405968178936
とても,0.046821405968178936
商品,0.046821405968178936
利用,0.04601414034803793
満足,0.04601414034803793
ケース,0.045813482148065444
動画,0.045813482148065444
電話,0.045813482148065444
bluetooth,0.045105043787256334
電波,0.045105043787256334
出来,0.044399609107755894
bv,0.0440475763168277
os,0.0440475763168277
カバー,0.043904587058562726
操作,0.043904587058562726
追記,0.04359234348761488
レビュー,0.04278507786747386
容量,0.04278507786747386
格安,0.04237140476984686
ドコモ,0.04235343876618047
動作,0.04197959549708941
電源,0.04197959549708941
また,0.04117054662719183
可能,0.04117054662719183
cpu,0.04065930121553326
メモリ,0.04065930121553326
サクサク,0.03971042817292242
防水,0.03971042817292242
その,0.039556015386909796
本体,0.039556015386909796
ストレージ,0.03896516366488604
回線,0.03896516366488604
to,0.03874874976676878
かなり,0.03874874976676878
十分,0.03874874976676878
フィルム,0.03857584451083892
wifi,0.038270946243732645
サブ,0.038270946243732645
電池,0.03817790179005454
it,0.03794148414662776
普通,0.03794148414662776
程度,0.03794148414662776
できる,0.03713421852648675
製品,0.03713421852648675
少し,0.03632695290634573
綺麗,0.03632695290634573
撮影,0.03630667718667192
画質,0.03630667718667192
au,0.035576888563591605
usb,0.03553730722632318
データ,0.03553730722632318
通知,0.03553730722632318
使う,0.035519687286204714
入れ,0.035519687286204714
買っ,0.035519687286204714
同じ,0.0347124216660637
良く,0.0347124216660637
表示,0.0347124216660637
wi,0.034170487717618436
しれ,0.03390515604592268
無い,0.03390515604592268
反応,0.03340566406629772
なく,0.033097890425781665
fi,0.0328036682089137
アップデート,0.0328036682089137
値段,0.03229062480564065
思う,0.03229062480564065
時間,0.03229062480564065
5900,0.032188613462297164
asus,0.032188613462297164
lite,0.032188613462297164
microsd,0.032188613462297164
que,0.032188613462297164
液晶,0.031768342538337935
以上,0.03148335918549963
あっ,0.030676093565358616
それ,0.030676093565358616
サイズ,0.030676093565358616
メーカー,0.030676093565358616
el,0.030494475911649947
huawei,0.030494475911649947
ガラケー,0.030494475911649947
line,0.03007002919150422
power,0.03007002919150422
youtube,0.03007002919150422
ただ,0.0298688279452176
思っ,0.0298688279452176
ちょっと,0.029061562325076583
全く,0.029061562325076583
自分,0.029061562325076583
非常,0.029061562325076583
docomo,0.028800338361002722
umidigi,0.028800338361002722
gps,0.028703209682799487
max,0.028703209682799487
plus,0.028703209682799487
音量,0.028703209682799487
重い,0.028364591552087443
10,0.028254296704935566
やすい,0.028254296704935566
メール,0.027678978797789546
あと,0.02744703108479455
こちら,0.02744703108479455
よく,0.02744703108479455
初期,0.02744703108479455
悪い,0.02744703108479455
最初,0.02744703108479455
状態,0.02744703108479455
google,0.027336390174094748
フォン,0.027336390174094748
is,0.026639765464653534
おり,0.026639765464653534
故障,0.02609542422792045
セール,0.02596957066539001
ペン,0.02596957066539001
ネット,0.025832499844512517
以外,0.025832499844512517
特に,0.025832499844512517
動き,0.025770083708286814
uq,0.025412063259708285
使える,0.0250252342243715
良かっ,0.0250252342243715
評価,0.0250252342243715
なら,0.024217968604230485
デザイン,0.024217968604230485
持っ,0.024217968604230485
イヤ,0.02382625690375345
接続,0.02382625690375345
登録,0.02382625690375345
mah,0.023717925709061068
あまり,0.023410702984089468
場合,0.023410702984089468
スピーカー,0.02323593164798054
ポケット,0.02323593164798054
入力,0.02323593164798054
便利,0.022906741074032722
落とし,0.022906741074032722
スマート,0.022691673241669954
