パンを焼く,tfidf
パン,0.4180014212730335
焼き,0.22066169449177306
レシピ,0.20901968594091655
いる,0.16211326642424362
焼く,0.1601001849760212
思い,0.15999413875856724
こと,0.14727937276450892
フライパン,0.14231127553424106
焼け,0.14231127553424106
購入,0.14092198976747974
食べ,0.14008766185401852
あり,0.12926678760625962
する,0.12396896844206866
焼い,0.1237858286173361
この,0.12184984077639227
よう,0.12079027694355408
サンド,0.11562791137157086
使っ,0.11125420244801033
使用,0.11019463861517215
食パン,0.10673345665068078
美味しく,0.10405185593921007
料理,0.09687586587443694
これ,0.09642030878827562
でき,0.09324161728976105
なり,0.08900336195840827
感じ,0.08900336195840827
ホット,0.08786161981517855
ある,0.08582467045989368
商品,0.08582467045989368
良い,0.08582467045989368
トースター,0.08449731984845561
作り,0.08142843542364847
とても,0.07946728746286452
もの,0.07946728746286452
なっ,0.07734815979718813
調理,0.07175990064773108
いい,0.07099077680015897
なる,0.06993121296732079
グリル,0.0667084104066755
使い,0.06463339380312981
オーブン,0.06448479672645298
トースト,0.06448479672645298
バター,0.06448479672645298
簡単,0.06357382997029162
時間,0.06039513847177704
焼ける,0.06003756936600794
美味しい,0.059567199874697316
ない,0.05933557463893885
プレート,0.05920191803437814
ところ,0.058276010806100655
思っ,0.058276010806100655
焦げ,0.05781395568578543
そう,0.05615688314042427
買っ,0.05615688314042427
発酵,0.055590342005562905
作っ,0.05386804189564438
サイズ,0.05191862780907149
少し,0.0508590639762333
問題,0.04768037247771872
ため,0.046620808644880524
また,0.04556124481204233
やすい,0.04556124481204233
作る,0.04467539990602299
メーカー,0.044501680979204136
焼肉,0.04447227360445033
さん,0.04344211714636594
できる,0.04238255331352775
とき,0.04238255331352775
パナ,0.042248659924227806
圧力,0.042248659924227806
便利,0.041340590292006145
こちら,0.041322989480689555
出来,0.041322989480689555
ただ,0.04026342564785136
良かっ,0.04026342564785136
ih,0.0400250462440053
冷凍,0.0400250462440053
取っ手,0.0400250462440053
野菜,0.0400250462440053
コンロ,0.03946794535625209
なく,0.03920386181501317
生地,0.03758235481091468
すぐ,0.03708473414933678
入れ,0.03708473414933678
思う,0.036025170316498586
満足,0.036025170316498586
レンジ,0.03587995032386554
洗う,0.03574031992481839
その,0.03496560648366039
てる,0.03496560648366039
使え,0.03496560648366039
洗い,0.03425113992795096
あっ,0.0339060426508222
しまい,0.0339060426508222
本当に,0.0339060426508222
自分,0.0339060426508222
部分,0.0339060426508222
コーティング,0.03335420520333775
チーズ,0.03335420520333775
食べる,0.03335420520333775
出来る,0.032846478817984005
好き,0.03257137416945939
やすく,0.03178691498514581
siroca,0.031130591523115227
絵本,0.031130591523115227
しっかり,0.030727351152307614
それ,0.030727351152307614
材料,0.030065883848731743
温度,0.030065883848731743
経営,0.029783599937348658
普通,0.029667787319469424
ごはん,0.028906977842892714
イースト,0.028906977842892714
ケーキ,0.028906977842892714
テフロン,0.028906977842892714
加熱,0.028906977842892714
焼き肉,0.028906977842892714
目玉焼き,0.028906977842892714
すみ,0.028813138688367924
表面,0.028813138688367924
電気,0.028813138688367924
そこ,0.02860822348663123
ちょっと,0.02860822348663123
上がり,0.0275603935280041
使う,0.027548659653793037
色々,0.027548659653793037
買い,0.027548659653793037
鉄板,0.02690996274289915
おいしく,0.026683364162670194
られ,0.026489095820954843
汚れ,0.026489095820954843
特に,0.026489095820954843
通り,0.026489095820954843
あと,0.02542953198811665
よく,0.02542953198811665
以外,0.02542953198811665
同じ,0.02542953198811665
家族,0.02542953198811665
必要,0.02542953198811665
キッチン,0.025115965226705877
楽しみ,0.025054903207276456
ご飯,0.024459750482447678
ガス,0.024459750482447678
冷蔵庫,0.024459750482447678
炒め,0.024459750482447678
しれ,0.024369968155278456
レビュー,0.024369968155278456
多い,0.024369968155278456
書い,0.024369968155278456
毎日,0.024369968155278456
容器,0.023826879949878924
メニュー,0.02380215804691263
切り,0.02380215804691263
家庭,0.02380215804691263
機能,0.02380215804691263
おいしい,0.023321967710512603
匂い,0.023321967710512603
やはり,0.023310404322440262
綺麗,0.023310404322440262
違い,0.023310404322440262
作れ,0.022549412886548808
くれ,0.022250840489602068
残念,0.022250840489602068
アレンジ,0.022236136802225165
ハンドル,0.022236136802225165
フッ素,0.022236136802225165
強火,0.022236136802225165
挟ん,0.022236136802225165
手入れ,0.02152797019431932
食材,0.02152797019431932
10,0.021191276656763874
すれ,0.021191276656763874
でも,0.021191276656763874
にくい,0.021191276656763874
セット,0.021191276656763874
タイプ,0.021191276656763874
値段,0.021191276656763874
大き,0.021191276656763874
状態,0.021191276656763874
試し,0.021191276656763874
ガラス,0.020848519956144063
あまり,0.02013171282392568
しまう,0.02013171282392568
そのまま,0.02013171282392568
もう,0.02013171282392568
られる,0.02013171282392568
れる,0.02013171282392568
写真,0.02013171282392568
考え,0.02013171282392568
手間,0.020043922565821163
読ん,0.020043922565821163
フレンチ,0.02001252312200265
著者,0.02001252312200265
飲食,0.02001252312200265
こね,0.019733972678126044
フランス,0.019733972678126044
作り方,0.019733972678126044
作れる,0.019359339959276627
投入,0.019359339959276627
洗っ,0.019359339959276627
耐久,0.019359339959276627
あれ,0.019072148991087487
